Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6685862,Solonoid Coil,4,Ministry of Defence Department of Defence,2025-10-13T15:15:52Z,2025-10-13T15:15:52Z,No
GEM/2025/B/6812223,Fitment of canvas cover for either truck,1,Ministry of Defence Department of Defence,2025-10-22T10:08:23Z,2025-10-22T10:08:23Z,No
GEM/2025/B/6810345,Refined Sugar conforming to IS 1151,210000,Civil Supplies and Consumer Affairs Department Andaman & Nicobar,2025-10-21T16:38:01Z,2025-10-21T16:38:01Z,No
GEM/2025/B/6655282,"N4010-002803 CHAIN CABLE FULL SIZE 48MM LENGTH 27.5M,N4010-002792 CHAIN CABLE FULL SIZE 17.5 MM LEN",185,Ministry of Defence Department of Military Affairs,2025-10-22T10:17:14Z,2025-10-22T10:17:14Z,No
GEM/2025/B/6631377,"NB ROD HEX 16 MM ACROSS FLAT,NB ROD HEX 26 MM ACROSS FLATS,NAVAL BRASS ROD HEXAGONAL 50MM WIDTH ACR",2160,Ministry of Defence Department of Military Affairs,2025-10-22T14:46:49Z,2025-10-22T14:46:49Z,No
GEM/2025/B/6630801,"PNEUMATIC GRAPNEL LAUNCHER WITH COMPLETE KIT,PNEUMATIC EXTENDABLE TELESCOPIC POLE 15 MTR WITH COMPL",8,Ministry of Defence Department of Military Affairs,2025-10-23T14:30:09Z,2025-10-23T14:30:09Z,No
GEM/2025/B/6618113,PNEUMATIC TOOL,1,Ministry of Defence Department of Defence,2025-10-23T12:51:27Z,2025-10-23T12:51:27Z,No
GEM/2025/B/6616723,Custom Bid for Services - Annual Rate Contract for LP of fresh provisions for CGDHQ-9 and units bas,1,Ministry of Defence Department of Defence,2025-10-23T11:50:41Z,2025-10-23T11:50:41Z,No
GEM/2025/B/6604746,Customized AMC/CMC for Pre-owned Products - Optical Emission Spectometer; Spectroil M/C-WSL; Compre,1,Ministry of Defence Department of Military Affairs,2025-10-23T12:06:51Z,2025-10-23T12:06:51Z,No
GEM/2025/B/6708340,"N0474-2201049 GREASE XG 264,N0475-P005379 COOLANT FOR MARUTHI GYPSY,N0475-R009551 MOYA OIL RUST PRE",41395,Ministry of Defence Department of Military Affairs,2025-10-21T13:00:32Z,2025-10-21T13:00:32Z,No
GEM/2025/B/6707106,"EA6010B-2210947-04 SCREW BUFFER,EA6010B-223401-38 SEAL RING,EA6010B-223401-28 O RING,EA6010B-223402",1448,Ministry of Defence Department of Military Affairs,2025-10-22T15:15:34Z,2025-10-22T15:15:34Z,No
GEM/2025/B/6700261,"N0561-5216841 CABLE ELECT 3X1.5 SQMM,N0561-5216829 2 CORE CABLE 1.5 SQMM,N0561-5218375 CABLE 2X2.5 ",16650,Ministry of Defence Department of Military Affairs,2025-10-21T10:32:11Z,2025-10-21T10:32:11Z,No
GEM/2025/B/6677561,"Toner Cartridges / Ink Cartridges / Consumables for Printers,Toner Cartridges / Ink Cartridges / Co",20,Andaman and Nicobar Islands Integrated Development Corporation Limited (ANIIDCO),2025-10-21T16:24:23Z,2025-10-21T16:24:23Z,No
GEM/2025/B/6790875,"File/Folder (V3),Ball Point Pens (V2) as per IS 3705,Markers for White Board (V2),Staplers (V2),Bla",233,Rural Development & Panchayat Department Andaman,2025-10-22T11:07:11Z,2025-10-22T11:07:11Z,No
GEM/2025/B/6815981,"HI MEDIA LEISHMEN STAIN 250 ML,BLUE STAR GLASS SLIDES 25X 75 MM BOX OF 50,HI MEDIA RATIC STAIN 250 ",66,Ministry of Defence Department of Military Affairs,2025-10-23T11:32:51Z,2025-10-23T11:32:51Z,No
GEM/2025/B/6813842,High End Desktop Computer,18,"Electricity Department, Andaman & Nicobar",2025-10-22T15:47:36Z,2025-10-22T15:47:36Z,No
GEM/2025/B/6825047,"Cable for civil net,Welding Machine,Bench Drill with bit,Cordless Drill Machine,Cordless Grinder Ma",38,Ministry of Defence Department of Military Affairs,2025-10-25T19:29:26Z,2025-10-25T19:29:26Z,No
GEM/2025/B/6777543,"ER5045B-TFM 1050 TURBINE FLOWMETER,ER5045B-7000MTRD ELECTRONIC REGISTRSTION UNIT,ER5045B-ISPA-8700 ",11,Ministry of Defence Department of Military Affairs,2025-10-24T12:57:45Z,2025-10-24T12:57:45Z,No
GEM/2025/B/6727009,"N0310-R021035 FLAX CANVAS FOR PROTECTIVE COVERS BLEACHED WIDTH 91CM GR. C,N0451-R003517 PVC FIRE RE",3800,Ministry of Defence Department of Military Affairs,2025-10-24T11:57:05Z,2025-10-24T11:57:05Z,No
GEM/2025/B/6675572,Professional Training Services (Version 2) - offline; Weekdays,3,Ministry of Defence Department of Military Affairs,2025-10-24T20:21:23Z,2025-10-24T20:21:23Z,No
GEM/2025/B/6798902,Inverter (V2),1,"Shipping & Ports Department, Andaman & Nicobar",2025-10-24T18:25:51Z,2025-10-24T18:25:51Z,No
GEM/2025/B/6769093,"EM6290B-0000181802 COVER,EM6290B-000125010524 WASHER,EM6290B-0000534335 VALVE ROTATOR SET B11,EM629",11428,Ministry of Defence Department of Military Affairs,2025-10-23T11:33:28Z,2025-10-23T11:33:28Z,No
GEM/2025/B/6764731,TEJAS L3 48 PORT NETWORK SWITCH,35,Ministry of Defence Department of Military Affairs,2025-10-22T14:44:44Z,2025-10-22T14:44:44Z,No
GEM/2025/B/6761253,"CI Wheel -Drawing Enclosed,CI Single wheel bracket -Drawing Enclosed,CI Double wheel bracket -Drawi",1529,"Ministry of Ports, Shipping and Waterways NA",2025-10-21T11:12:54Z,2025-10-21T11:12:54Z,No
GEM/2025/B/6760676,"Shaft Sleeve Part No-312,O Ring Part No- 522.1,Coupling Bush Part No-400,Coupling Pin Part No-404,B",70,"Ministry of Ports, Shipping and Waterways NA",2025-10-21T11:07:52Z,2025-10-21T11:07:52Z,No
GEM/2025/B/6752469,"EP3030B-PAN5967-1392 STANDARD 19 INPUT RACK WITH CONTROL SUBRACKS,EP3030B-PAN5967-1715-MB STANDARD ",1146,Ministry of Defence Department of Military Affairs,2025-10-23T11:21:08Z,2025-10-23T11:21:08Z,No
GEM/2025/B/6740101,"Shaft Sleeve Part No-312,O Ring Part No- 522.1,Coupling Bush Part No-400,Coupling Pin Part No-404,B",70,"Ministry of Ports, Shipping and Waterways NA",2025-10-21T10:55:13Z,2025-10-21T10:55:13Z,No
GEM/2025/B/6738409,"CABLE ELECTRICAL TWIN & MULTICORE BUYTL (TWO CORE),CABLE WELDING COPPER NOMINAL AREA OF CONDUCTOR 5",2850,Ministry of Defence Department of Military Affairs,2025-10-21T10:21:40Z,2025-10-21T10:21:40Z,No
GEM/2025/B/6732433,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - Refit of ICGS C-42",1,Ministry of Defence Department of Defence,2025-10-23T17:29:15Z,2025-10-23T17:29:15Z,No
GEM/2025/B/6819833,Portable Power Generators,4,Agriculture Department Andaman & Nicobar,2025-10-24T17:09:18Z,2025-10-24T17:09:18Z,No
GEM/2025/B/6822479,4517 SOLENOID COIL,15,Ministry of Defence Department of Military Affairs,2025-10-24T19:20:04Z,2025-10-24T19:20:04Z,No
