Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6800275,Compact Weather Station,1,Ministry of Power POWER GRID Corporation OF INDIA Limited,2025-10-23T15:45:42Z,2025-10-23T15:45:42Z,No
GEM/2025/B/6822785,Custom Bid for Services - SERVICING AND REPAIR OF various capacity DG set at 9 BN ITBP Lohit Arunac,1,Ministry of Home Affairs Central Armed Police Forces,2025-10-25T13:21:05Z,2025-10-25T13:21:05Z,No
GEM/2025/B/6818297,"FRONT AXLE OIL SEAL SML 4X4 TRUCK,WHEEL CYLINDER ASSY SML TRUCK,WHEEL CYLINDER ASSY 7853SML TRUCK,W",217,Ministry of Home Affairs Central Armed Police Forces,2025-10-23T18:43:35Z,2025-10-23T18:43:35Z,No
GEM/2025/B/6824607,E-cart for Goods,1,Ministry of Home Affairs Central Armed Police Forces,2025-10-27T16:17:48Z,2025-10-27T16:17:48Z,No
GEM/2025/B/6791542,"Pneumatic Tyres for Commercial Vehicles - Diagonal and Radial Ply Marked to IS 15636,Pneumatic Tyre",851,Ministry of Defence Department of Defence,2025-10-23T12:48:14Z,2025-10-23T12:48:14Z,No
GEM/2025/B/6848629,Racing and Trekking Mountain Bicycle,2,Ministry of Defence Department of Military Affairs,2025-11-02T17:52:39Z,2025-11-02T17:52:39Z,No
GEM/2025/B/6848565,"SpeedyBee F405 Mini BLS 35A 20 x 20 Stack,Bonka 14.8 1500mAh 75C 4S 150C Burst Lithium Polymer Batt",20,Ministry of Defence Department of Military Affairs,2025-11-02T09:52:32Z,2025-11-02T09:52:32Z,No
GEM/2025/B/6836906,Custom Bid for Services - De launching of 400 ft Bailey Suspension Bridge at KM 1 pt 150 on KKG KAR,1,Ministry of Defence Department of Defence,2025-10-30T16:02:40Z,2025-10-30T16:02:40Z,No
GEM/2025/B/6814676,"65 Inch LED Display with accessories as per TS,PTZ Camera as per TS,Speaker cum Microphone for Conf",5,Ministry of Power POWER GRID Corporation OF INDIA Limited,2025-10-31T11:27:21Z,2025-10-31T11:27:21Z,No
GEM/2025/B/6700667,"Television (TV) (V2),Television (TV) (V2)",7,Ministry of Power POWER GRID Corporation OF INDIA Limited,2025-10-13T10:32:21Z,2025-10-13T10:32:21Z,No
GEM/2025/B/6791542,"Pneumatic Tyres for Commercial Vehicles - Diagonal and Radial Ply Marked to IS 15636,Pneumatic Tyre",851,Ministry of Defence Department of Defence,2025-10-23T12:48:14Z,2025-10-23T12:48:14Z,No
GEM/2025/B/6847269,"Adopter 3 oblique 4 inch dia for coupling,Pneumatic Air Hose pipe 20 mm heavy duty plastic type,Hos",431,Ministry of Defence Department of Defence,2025-11-07T16:42:20Z,2025-11-07T16:42:20Z,No
GEM/2025/B/6846488,"Sleeve Coupling R32 Make Sandvik for Rock Drill DC 400,R32 Button bit 64 mm 7733 1664 S48 Make Sand",151,Ministry of Defence Department of Defence,2025-11-07T16:36:55Z,2025-11-07T16:36:55Z,No
GEM/2025/B/6855499,Carpenter hammer 500 gm comma Cross Pen Hammer Drop Forged Steel Seasoned Wood Handle Head Material,563,Ministry of Defence Department of Defence,2025-11-09T13:35:52Z,2025-11-09T13:35:52Z,No
GEM/2025/B/6853126,"Allout mosquito repelent machine 5 dash 7 watts,Axes Felling made of steel with wooden handle,Bath ",2314,Ministry of Defence Department of Defence,2025-11-09T13:32:32Z,2025-11-09T13:32:32Z,No
