Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6766457,REPAIR OF MARUTI GYPSY VEH BA NO 17-B-121871X IN R/O GE (P) VASCO,1,Ministry of Defence Department of Military Affairs,2025-10-08T13:24:45Z,2025-10-08T13:24:45Z,No
GEM/2025/B/6646370,Custom Bid for Services - DEEP-SEA MOORINGS,1,Ministry of Earth Sciences Department of Earth Sciences,2025-09-09T10:02:44Z,2025-09-09T10:02:44Z,No
GEM/2025/B/6812206,"Foam Roller 6 inch,Hedge Shears,Hand Pruner,2 stroke engine oil,Urinal flush coins,Floor cleaning m",1062,Ministry of Defence Department of Military Affairs,2025-10-22T12:46:39Z,2025-10-22T12:46:39Z,No
GEM/2025/B/6811610,Deep Sea Camera System,1,Ministry of Science and Technology Department of Scientific and Industrial Research (DSIR),2025-10-22T16:39:27Z,2025-10-22T16:39:27Z,No
GEM/2025/B/6809939,Overhauling of Hydraulic Jacks,10,Ministry of Defence Department of Defence Production,2025-10-23T11:15:06Z,2025-10-23T11:15:06Z,No
GEM/2025/B/6800669,"Wireless Access Points,Hardware fire Wall,Testing,commissioning,installation",19,Ministry of Education Department of School Education and Literacy,2025-10-22T17:16:19Z,2025-10-22T17:16:19Z,No
GEM/2025/B/6795171,"BIRTHDAY CARDS A3 FOLDED,ANNIVERSARY CARDS A3 FOLDED,PAPER FOLDER,UNIT PHOTO WITH FRAME SIZE 3INCH ",118,Ministry of Defence Department of Military Affairs,2025-10-21T15:23:10Z,2025-10-21T15:23:10Z,No
GEM/2025/B/6816468,"Biodegradable Garbage Bag 30x40,Biodegradable Garbage Bag 11x30,Disposable paper plate big,Disposab",2982,Ministry of Defence Department of Military Affairs,2025-10-23T15:50:17Z,2025-10-23T15:50:17Z,No
GEM/2025/B/6816162,"Toner Cartridges / Ink Cartridges / Consumables for Printers,Toner Cartridges / Ink Cartridges / Co",10,Ministry of Defence Department of Military Affairs,2025-10-23T12:04:50Z,2025-10-23T12:04:50Z,No
GEM/2025/B/6816027,ANALOG VOICE GATEWAYS,2,Ministry of Defence Department of Military Affairs,2025-10-23T17:14:52Z,2025-10-23T17:14:52Z,No
GEM/2025/B/6815557,"OUTER COVER OF BULLET PROOF JACKET POLYSTER WITH PU COATED FABRIC,REPLACEMENT OF FRONT PANEL COVER,",155,Ministry of Defence Department of Military Affairs,2025-10-23T10:28:36Z,2025-10-23T10:28:36Z,No
GEM/2025/B/6814546,Full Service and Maintenance Contracts of Photocopier Machine - Comprehensive Maintenance Contract;,30000,"Ministry of Ports, Shipping and Waterways NA",2025-10-23T14:58:11Z,2025-10-23T14:58:11Z,No
GEM/2025/B/6813890,"90 DEG MS ELBOW BUTT WELDED 200 NB SCH 40 R 1D,MS BEND 90 DEG 100 NB SCH 40 R 1D BUT WELD TYPE SEAM",2282,Ministry of Defence Department of Defence Production,2025-10-22T15:21:51Z,2025-10-22T15:21:51Z,No
GEM/2025/B/6813080,Toner Cartridges / Ink Cartridges / Consumables for Printers,2,Ministry of Defence Department of Military Affairs,2025-10-23T12:09:26Z,2025-10-23T12:09:26Z,No
GEM/2025/B/6823617,"PROVISIONING OF FLIGHT SAFETY CORNER,DISPLAY UNIT FOR SHOWCASING FLIGHT SAFETY,PLUG IN STORAGE FOR ",6,Ministry of Defence Department of Military Affairs,2025-10-25T12:27:21Z,2025-10-25T12:27:21Z,No
GEM/2025/B/6726152,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,4,Ministry of Education Department of School Education and Literacy,2025-10-24T13:48:35Z,2025-10-24T13:48:35Z,No
GEM/2025/B/6816545,LEAD AUDITOR TRAINING PROGRAMME,20,Ministry of Defence Department of Military Affairs,2025-10-24T09:48:36Z,2025-10-24T09:48:36Z,No
GEM/2025/B/6816122,LEAN SIX SIGMA BLACK BELT TRAINING,15,Ministry of Defence Department of Military Affairs,2025-10-24T09:47:12Z,2025-10-24T09:47:12Z,No
GEM/2025/B/6799472,Hiring of Boats - Sea Worthy Boats; Less than 5 years; Without Air-Conditioning; 4-6 Persons; 100; ,1,Ministry of Defence Department of Military Affairs,2025-10-24T10:53:58Z,2025-10-24T10:53:58Z,No
GEM/2025/B/6774914,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - Office Space; REPA",1,Ministry of Defence Department of Military Affairs,2025-10-21T10:24:27Z,2025-10-21T10:24:27Z,No
GEM/2025/B/6723399,"High Security Fence Controller,IP 66 W Weather proof box,Main Post,Support Post,End Insulator,Tight",3227,Ministry of Defence Department of Military Affairs,2025-10-23T11:58:00Z,2025-10-23T11:58:00Z,No
GEM/2025/B/6819544,Full Service and Maintenance Contracts of Photocopier Machine - Comprehensive maintenance contract ,8005,"Ministry of Ports, Shipping and Waterways NA",2025-10-24T12:46:26Z,2025-10-24T12:46:26Z,No
GEM/2025/B/6711369,Customized AMC/CMC for Pre-owned Products - As per list attached; As per list attached; Annual Main,64,Ministry of Defence Department of Military Affairs,2025-10-24T14:38:46Z,2025-10-24T14:38:46Z,No
GEM/2025/B/6777216,Customized AMC/CMC for Pre-owned Products - AMC OF BIRD HAZAD CONTROL TEAM ITEMS AND LPG OPERATED Z,1,Ministry of Defence Department of Military Affairs,2025-10-21T12:16:21Z,2025-10-21T12:16:21Z,No
GEM/2025/B/6720278,"All in One PC (V2),Line Interactive UPS with AVR (V2),Computer Monitor,Entry and Mid Level Desktop ",55,Ministry of Defence Department of Military Affairs,2025-10-21T09:50:25Z,2025-10-21T09:50:25Z,No
GEM/2025/B/6818029,"40 NB 90 DEG COPPER ELBOW BUT WELD TYPE SEAMLESS R 1.5D,50 NB 90 DEG COPPER ELBOW BUT WELD TYPE SEA",3129,Ministry of Defence Department of Defence Production,2025-10-23T17:23:48Z,2025-10-23T17:23:48Z,No
GEM/2025/B/6620712,Layer 3 - Access Switch,7,Ministry of Defence Department of Military Affairs,2025-10-23T22:27:17Z,2025-10-23T22:27:17Z,No
GEM/2025/B/6826585,"ACP satin white surrounding borders with aluminium structure,LED light box frame in aluminium struc",9,Ministry of Defence Department of Military Affairs,2025-10-28T09:17:51Z,2025-10-28T09:17:51Z,No
GEM/2025/B/6826208,Acrylic plates with glass studds fitting mentionning quotes of famous persons for library area,32,Ministry of Defence Department of Military Affairs,2025-10-27T10:11:59Z,2025-10-27T10:11:59Z,No
GEM/2025/B/6768239,"IN Chart one of each,INP 2017,INP 2019,INP 2020,INP 2020,INP2024,INP 2024,INP 2021,INP 2023,NP,NP A",123,Ministry of Defence Department of Defence,2025-10-27T18:09:28Z,2025-10-27T18:09:28Z,No
GEM/2025/B/6828044,Acrylic plates with glass studds fittings mentioning pakistani details size 4ft* 6ft toming area,8,Ministry of Defence Department of Military Affairs,2025-10-28T08:49:29Z,2025-10-28T08:49:29Z,No
GEM/2025/B/6827900,"8mm acrylic plates mentioning famous motivational quotes with reverse print sticker pasting,3ft* 2f",26,Ministry of Defence Department of Military Affairs,2025-10-28T08:51:42Z,2025-10-28T08:51:42Z,No
GEM/2025/B/6791400,Repair and Overhauling Service - REPAIR AND MAINTENANCE OF MHE LIFTING MACHINE; MHE; Yes; Buyer Pre,1,Ministry of Defence Department of Military Affairs,2025-10-27T10:44:38Z,2025-10-27T10:44:38Z,No
GEM/2025/B/6832273,Custom Bid for Services - Consultancy services for construction of ware house/s inside GSL yard,1,Ministry of Defence Department of Defence Production,2025-10-28T16:11:16Z,2025-10-28T16:11:16Z,No
GEM/2025/B/6831992,ROPE LUBE 1000 F/MOBILE CRANES,180,Ministry of Defence Department of Defence Production,2025-10-28T15:26:31Z,2025-10-28T15:26:31Z,No
GEM/2025/B/6830893,"Manpower Outsourcing Services - Minimum wage - Skilled; High School; Admin,Manpower Outsourcing Ser",7,Ministry of Defence Department of Military Affairs,2025-10-29T08:59:43Z,2025-10-29T08:59:43Z,No
GEM/2025/B/6833907,"Repair and Overhauling Service - Desktop Computers, HP ML 10 Server, Printers and UPS repair and se",21,Ministry of Defence Department of Military Affairs,2025-10-29T12:07:21Z,2025-10-29T12:07:21Z,No
GEM/2025/B/6819436,Warehousing Service- Lumpsum quote based - As per SOW; As per SOW; Godown without services; Hardwar,1,Ministry of Defence Department of Defence Production,2025-10-27T11:47:11Z,2025-10-27T11:47:11Z,No
GEM/2025/B/6817240,Custom Bid for Services - Repair of Qty 04 Engine Shipping and Storage Container part No 078 08 280,1,Ministry of Defence Department of Military Affairs,2025-10-27T10:04:04Z,2025-10-27T10:04:04Z,No
GEM/2025/B/6821303,Bordering Part No 903-9204-1012,100,Ministry of Defence Department of Military Affairs,2025-10-29T09:50:33Z,2025-10-29T09:50:33Z,No
GEM/2025/B/6845890,"PUNISHMENT BOOK,INLIVING JUNIOR SAILOR SHORT ASHORE LEAVE,INLIVING SENIOR SAILOR SHORT ASHORE LEAVE",100,Ministry of Defence Department of Military Affairs,2025-11-03T12:45:51Z,2025-11-03T12:45:51Z,No
GEM/2025/B/6845889,"Custom Bid for Services - Refilling of 85 in number of Cartridges (88A, 12A, Canon 925, Brother TN ",1,Ministry of Defence Department of Military Affairs,2025-11-03T12:53:04Z,2025-11-03T12:53:04Z,No
GEM/2025/B/6838678,Truck Mounted Boom Lift Platform,1,Urban Development Department Goa,2025-11-03T13:16:20Z,2025-11-03T13:16:20Z,No
GEM/2025/B/6844733,"Battery 12V 60AH,Battery 12V 88AH Secondary Lead Acid,Battery Lead Acid 12V 150AH,Battery 12V 40AH ",223,Ministry of Defence Department of Military Affairs,2025-11-03T13:01:35Z,2025-11-03T13:01:35Z,No
GEM/2025/B/6851357,"MS Galvanized Conduits pipes and Accessories Lot 1,MS Galvanized Conduits pipes and AccessoriesLot ",7,Ministry of Defence Department of Defence Production,2025-11-03T15:53:34Z,2025-11-03T15:53:34Z,No
GEM/2025/B/6836382,Vector Network Analyzer and Spectrum Analyzer 14 GHz includeing accessories and Calibration Kit,1,Ministry of Education Department of Higher Education,2025-11-03T15:58:23Z,2025-11-03T15:58:23Z,No
GEM/2025/B/6832403,Custom Bid for Services - EXTRA DIET FOR UNITY RUN TEAMS,1,Ministry of Defence Department of Military Affairs,2025-11-03T16:46:41Z,2025-11-03T16:46:41Z,No
GEM/2025/B/6776976,Custom Bid for Services - Upgradation of Floating Jetty made of HDPE Cubes at Boat Pool,1,Ministry of Defence Department of Military Affairs,2025-10-13T16:31:10Z,2025-10-13T16:31:10Z,No
GEM/2025/B/6795273,"12000x2500x10,10000x2500x12,10000x2500x14,10000x2500x20,10000x2000x24,6000x1500x30,6000x2000x40,100",871509,Ministry of Defence Department of Defence Production,2025-10-15T18:57:03Z,2025-10-15T18:57:03Z,No
GEM/2025/B/6852640,"Grass Cutting Wire HD 3mm,Chopper HD,Grass Cutting Machine Belt,Grass Cutting Machine Hooks HD,Mach",155,Ministry of Defence Department of Military Affairs,2025-11-03T19:38:10Z,2025-11-03T19:38:10Z,No
GEM/2025/B/6821271,8mm acrylic plateswith reverse print sticker pasting and fitting with glass studds size 4ftX2ft 8 s,25,Ministry of Defence Department of Military Affairs,2025-10-27T10:16:27Z,2025-10-27T10:16:27Z,No
GEM/2025/B/6664260,Repair and Overhauling Service - Aircraft GSE; LCM-20; Yes; Service Provider Premises,1,Ministry of Defence Department of Defence,2025-10-28T13:34:31Z,2025-10-28T13:34:31Z,No
GEM/2025/B/6768869,Repair and Refurbishment of Paraquet Shingles,350,Ministry of Defence Department of Military Affairs,2025-10-30T18:27:04Z,2025-10-30T18:27:04Z,No
GEM/2025/B/6828768,Software Based Solution for Mobile Phone Forensic and Photo Recognizer,5,Police Department Goa,2025-10-30T18:31:19Z,2025-10-30T18:31:19Z,No
GEM/2025/B/6825834,FLAT TOP TRESTLES,5,Ministry of Defence Department of Military Affairs,2025-10-30T18:33:34Z,2025-10-30T18:33:34Z,No
GEM/2025/B/6832403,Custom Bid for Services - EXTRA DIET FOR UNITY RUN TEAMS,1,Ministry of Defence Department of Military Affairs,2025-11-03T16:46:41Z,2025-11-03T16:46:41Z,No
GEM/2025/B/6836527,RF Power Meter with sensors 12 GHz,1,Ministry of Education Department of Higher Education,2025-11-03T15:42:55Z,2025-11-03T15:42:55Z,No
GEM/2025/B/6851357,"MS Galvanized Conduits pipes and Accessories Lot 1,MS Galvanized Conduits pipes and AccessoriesLot ",7,Ministry of Defence Department of Defence Production,2025-11-03T15:53:34Z,2025-11-03T15:53:34Z,No
GEM/2025/B/6836382,Vector Network Analyzer and Spectrum Analyzer 14 GHz includeing accessories and Calibration Kit,1,Ministry of Education Department of Higher Education,2025-11-03T15:58:23Z,2025-11-03T15:58:23Z,No
GEM/2025/B/6846083,20 Ton wired Dynamometer,2,Ministry of Defence Department of Defence Production,2025-11-01T14:24:37Z,2025-11-01T14:24:37Z,No
GEM/2025/B/6855941,SITC of Isolation Transformer,1,"Ministry of Ports, Shipping and Waterways NA",2025-11-04T17:08:15Z,2025-11-04T17:08:15Z,No
GEM/2025/B/6739136,"1250x4000x4 mm,1500x10000x5mm,1500x10000x6 mm,2500x12000x8 mm,2500x12000x10 mm,2500x12000x12 mm,250",5191245,Ministry of Defence Department of Defence Production,2025-09-30T16:16:06Z,2025-09-30T16:16:06Z,No
GEM/2025/B/6631267,Custom Bid for Services - REPAIR RATE CONTRACT FOR REPAIR OF ADJUSTER PROTECTION AND CONTROL UNIT P,1,Ministry of Defence Department of Military Affairs,2025-10-14T09:12:54Z,2025-10-14T09:12:54Z,No
GEM/2025/B/6775513,Custom Bid for Services - BIENNIAL RATE CONTRACT FOR HIRING OF SAFETY SUPERVIORS FOR SURVEILANCE AC,1,Ministry of Defence Department of Defence Production,2025-10-10T12:40:07Z,2025-10-10T12:40:07Z,No
GEM/2025/B/6859118,Tablet Computer (V2),1,Ministry of Defence Department of Military Affairs,2025-11-05T21:12:02Z,2025-11-05T21:12:02Z,No
GEM/2025/B/6851025,Aircraft Engine Carrier,2,Ministry of Defence Department of Military Affairs,2025-11-05T16:17:52Z,2025-11-05T16:17:52Z,No
GEM/2025/B/6858756,"1954300034,1954300050,1954300036,1954300037,1954300038,1954300039,1954300049,1954300051,1954300052,",168,Ministry of Defence Department of Defence Production,2025-11-05T17:01:57Z,2025-11-05T17:01:57Z,No
GEM/2025/B/6828599,"Custom Bid for Services - CDCMS SUPPORT KOLHAPUR SA,Custom Bid for Services - CDCMS SUPPORT GOA SA",2,Ministry of Petroleum and Natural Gas NA,2025-10-27T17:11:53Z,2025-10-27T17:11:53Z,No
GEM/2025/B/6858839,"3695701020,2944910007,2944910008,1557342062,1557342012,1557453453,6570330086,6650103502,1557453011,",68,Ministry of Defence Department of Defence Production,2025-11-05T17:31:56Z,2025-11-05T17:31:56Z,No
GEM/2025/B/6858893,"9395426100,9395426103,9395426104,9395426105,9395426106,9395426109,9395426113,9395426116",64,Ministry of Defence Department of Defence Production,2025-11-05T17:49:52Z,2025-11-05T17:49:52Z,No
GEM/2025/B/6647229,Custom Bid for Services - Subcontracting of Modification & Delivery of LPG Cylinder Carrier Yard 12,1,Ministry of Defence Department of Defence Production,2025-09-04T16:59:49Z,2025-09-04T16:59:49Z,No
GEM/2025/B/6791400,Repair and Overhauling Service - REPAIR AND MAINTENANCE OF MHE LIFTING MACHINE; MHE; Yes; Buyer Pre,1,Ministry of Defence Department of Military Affairs,2025-10-27T10:44:38Z,2025-10-27T10:44:38Z,No
GEM/2025/B/6832273,Custom Bid for Services - Consultancy services for construction of ware house/s inside GSL yard,1,Ministry of Defence Department of Defence Production,2025-10-28T16:11:16Z,2025-10-28T16:11:16Z,No
GEM/2025/B/6831992,ROPE LUBE 1000 F/MOBILE CRANES,180,Ministry of Defence Department of Defence Production,2025-10-28T15:26:31Z,2025-10-28T15:26:31Z,No
GEM/2025/B/6830893,"Manpower Outsourcing Services - Minimum wage - Skilled; High School; Admin,Manpower Outsourcing Ser",7,Ministry of Defence Department of Military Affairs,2025-10-29T08:59:43Z,2025-10-29T08:59:43Z,No
GEM/2025/B/6833907,"Repair and Overhauling Service - Desktop Computers, HP ML 10 Server, Printers and UPS repair and se",21,Ministry of Defence Department of Military Affairs,2025-10-29T12:07:21Z,2025-10-29T12:07:21Z,No
GEM/2025/B/6819436,Warehousing Service- Lumpsum quote based - As per SOW; As per SOW; Godown without services; Hardwar,1,Ministry of Defence Department of Defence Production,2025-10-27T11:47:11Z,2025-10-27T11:47:11Z,No
GEM/2025/B/6817240,Custom Bid for Services - Repair of Qty 04 Engine Shipping and Storage Container part No 078 08 280,1,Ministry of Defence Department of Military Affairs,2025-10-27T10:04:04Z,2025-10-27T10:04:04Z,No
GEM/2025/B/6821303,Bordering Part No 903-9204-1012,100,Ministry of Defence Department of Military Affairs,2025-10-29T09:50:33Z,2025-10-29T09:50:33Z,No
GEM/2025/B/6743762,Interlock Valve Body (Housing) Part No 83.0254-251,18,Ministry of Defence Department of Military Affairs,2025-10-29T09:45:22Z,2025-10-29T09:45:22Z,No
GEM/2025/B/6853633,AMC / CMC of Fire Extinguishers - Fishing vessel; Mechanical Foam DCP Type Water Type Fire Extingui,19,Ministry of Fisheries Animal Husbandry Dairying Department of Fisheries,2025-11-06T11:06:48Z,2025-11-06T11:06:48Z,No
GEM/2025/B/6791400,Repair and Overhauling Service - REPAIR AND MAINTENANCE OF MHE LIFTING MACHINE; MHE; Yes; Buyer Pre,1,Ministry of Defence Department of Military Affairs,2025-10-27T10:44:38Z,2025-10-27T10:44:38Z,No
GEM/2025/B/6832273,Custom Bid for Services - Consultancy services for construction of ware house/s inside GSL yard,1,Ministry of Defence Department of Defence Production,2025-10-28T16:11:16Z,2025-10-28T16:11:16Z,No
GEM/2025/B/6831992,ROPE LUBE 1000 F/MOBILE CRANES,180,Ministry of Defence Department of Defence Production,2025-10-28T15:26:31Z,2025-10-28T15:26:31Z,No
