Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6664201,Revamping of 20MT Triple Tube Draw-bench as per specification,1,PMO Department of Atomic Energy,2025-10-07T14:03:48Z,2025-10-07T14:03:48Z,No
GEM/2025/B/6749741,"Design, prep. of. dwgs, mfg, insp. , testing, packing, safe del, E&C etc of 4 station vertical honi",1,PMO Department of Atomic Energy,2025-10-09T16:13:03Z,2025-10-09T16:13:03Z,No
GEM/2025/B/6706720,141mm dia Alloy 800 Forged & Machined Billets detailed as per technical specifications attached,500,PMO Department of Atomic Energy,2025-10-10T14:50:05Z,2025-10-10T14:50:05Z,No
GEM/2025/B/6773960,Thermal Cycling Furnace,1,Ministry of Defence Department of Defence Research & Development,2025-10-10T19:36:55Z,2025-10-10T19:36:55Z,No
GEM/2025/B/6775066,"ES51-010-00540,ES51-010-00541,ES51-010-00280,ES51-010-00281,ES51-010-00617,ES51-009-00293,ES51-009-",202,Ministry of Defence Department of Defence Production,2025-10-14T15:34:18Z,2025-10-14T15:34:18Z,No
GEM/2025/B/6801148,650 DIA CRUCIBLE WITH GUIDE TUBE AND OTHER ACCESSORIES,1,Ministry of Defence Department of Defence Production,2025-10-17T11:49:12Z,2025-10-17T11:49:12Z,No
GEM/2025/B/6662010,"Proto Type Battery Module,Battery Charger Mark -I (QT Unit),40kW Dc-AC Converter (Inverter) Mark-I ",30,Ministry of Defence Department of Defence Research & Development,2025-10-17T11:16:21Z,2025-10-17T11:16:21Z,No
GEM/2025/B/6774284,Supply of a set of ICP standard solutions as per the annexure-1,1,PMO Department of Atomic Energy,2025-10-17T11:57:49Z,2025-10-17T11:57:49Z,No
GEM/2025/B/6742893,"Cobalt (II) nitrate hexahydrate,Aluminium nitrate,Ammonium carbonate,PH buffer solution,Buffer Solu",194,Ministry of Defence Department of Defence Research & Development,2025-10-13T16:58:43Z,2025-10-13T16:58:43Z,No
GEM/2025/B/6677600,"Folding Mirror-2(FM-2) (With mount assembly),Folding Mirror-1(FM-1) (With mount assembly),Dichroic ",22,Ministry of Defence Department of Defence Research & Development,2025-10-15T17:00:12Z,2025-10-15T17:00:12Z,No
GEM/2025/B/6811910,"48 PORT TOR Switch,Indoor Wireless Access Point,High-Performance GPU Compute Server,48 GB AR VR AI ",59,Ministry of Education Department of Higher Education,2025-10-21T19:38:16Z,2025-10-21T19:38:16Z,No
GEM/2025/B/6811749,"Custom Bid for Services - Man power requirement,Custom Bid for Services - Washing, Drying and Ironi",7,Ministry of Railways Indian Railways,2025-10-22T13:28:24Z,2025-10-22T13:28:24Z,No
GEM/2025/B/6811411,"GMP(TM) HIGH PERFORMANCE PIEZOCOMPOSITE NON CONTACT ULTRASONIC TRANSDUCER: NCG30-D25,GMP(TM) HIGH P",6,Ministry of Defence Department of Defence Research & Development,2025-10-23T12:21:29Z,2025-10-23T12:21:29Z,No
GEM/2025/B/6811196,Operation and  Maintenance Services of Power Generator(DG-Set) - Package 1 - O&M Service with opera,1,Ministry of Steel NMDC Limited,2025-10-21T16:07:59Z,2025-10-21T16:07:59Z,No
GEM/2025/B/6809774,Procurement of Fabrication and Supply of Protection Shield,3,Ministry of Defence Department of Defence Production,2025-10-22T11:05:25Z,2025-10-22T11:05:25Z,No
GEM/2025/B/6809717,Radar EMI field measurement,1,Ministry of Defence Department of Defence Research & Development,2025-10-22T11:23:48Z,2025-10-22T11:23:48Z,No
GEM/2025/B/6806287,"Vertical Mounted Jockey Pump,Control Panel with VFD Drive,Charges for Commissioning of the pump",3,Ministry of Defence Department of Defence Production,2025-10-18T11:08:43Z,2025-10-18T11:08:43Z,No
GEM/2025/B/6806168,Custom Bid for Services - Conversion of 350 tons of metallic MS scrap into ingots or billets using ,1,PMO Department of Atomic Energy,2025-10-18T11:17:31Z,2025-10-18T11:17:31Z,No
