Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6802659,Actuator Diaphragm for VA5R,5,PMO Department of Atomic Energy,2025-10-21T15:31:32Z,2025-10-21T15:31:32Z,No
GEM/2025/B/6702342,"Closing coil (S/R) for English Electric make Air circuit breaker as per enclosed Annexure I,Trippin",70,PMO Department of Atomic Energy,2025-10-22T11:51:06Z,2025-10-22T11:51:06Z,No
GEM/2025/B/6788143,M/s UNIK BATTERIES PRIVATE LIMITED make UNIK Brand Tubular Traction WELD ON connector battery,1,PMO Department of Atomic Energy,2025-10-21T15:37:06Z,2025-10-21T15:37:06Z,No
GEM/2025/B/6787211,Seamless Stainless Steel Pipe of 435mm OD X 420mm ID X 6000mm,108,PMO Department of Atomic Energy,2025-10-21T15:54:09Z,2025-10-21T15:54:09Z,No
GEM/2025/B/6787074,"Single Row Cylindrical roller bearing NU318 ECP/C3, SKF make, dimensions: 90x190x43mm",6,PMO Department of Atomic Energy,2025-10-21T15:41:49Z,2025-10-21T15:41:49Z,No
GEM/2025/B/6792222,MAGNETO PHONES AS PER TENDER SPECIFICATION ATTACHED AT ANNEXURE-I,10,PMO Department of Atomic Energy,2025-10-24T17:22:37Z,2025-10-24T17:22:37Z,No
GEM/2025/B/6807993,Lapping plate,1,PMO Department of Atomic Energy,2025-10-24T17:09:39Z,2025-10-24T17:09:39Z,No
GEM/2025/B/6769217,"WORK REST BLADE T. C. DIA 17 mm. Item Code- J40603903030,WORK REST BLADE T. C. DIA. 18 mm. Item Cod",15,PMO Department of Atomic Energy,2025-10-24T17:35:10Z,2025-10-24T17:35:10Z,No
GEM/2025/B/6709487,"R type Simplex thermocouple As per Annexure A,R type Simplex thermocouple As per Annexure B",4,PMO Department of Atomic Energy,2025-10-24T17:29:01Z,2025-10-24T17:29:01Z,No
GEM/2025/B/6796414,Conical Impeller for Pulvarised Fuel Coal Burner as per Drawing No. HWPM/MU/121- Rev-0.,100,PMO Department of Atomic Energy,2025-10-22T12:01:11Z,2025-10-22T12:01:11Z,No
GEM/2025/B/6796323,"Temperature isolator,Analog input isolator (1 input, 2 output),Analog input isolator (1 input, 1 ou",95,PMO Department of Atomic Energy,2025-10-21T15:46:40Z,2025-10-21T15:46:40Z,No
GEM/2025/B/6833996,"Custom Bid for Services - TRANSPORTATION OF ENRICHED KBF4 FROM HEAVY WATER BOARD FACILITIES, TALCHE",1,PMO Department of Atomic Energy,2025-10-29T11:22:08Z,2025-10-29T11:22:08Z,No
GEM/2025/B/6827010,Custom Bid for Services - Custom Bid for Services LDO,1,PMO Department of Atomic Energy,2025-10-29T16:52:03Z,2025-10-29T16:52:03Z,No
