Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6674157'],"Drishti MK-II Data Acquisition System with Course Recording Device, Cable Assemblies and Test Panel",[3],Ministry of Defence Department of Military Affairs,2025-09-23T16:41:19Z,2025-09-23T16:41:19Z,No
['GEM/2025/B/6639909'],"Hardware Cost For indigenisation solution for processor module of palladi-M system,Development char",[3],Ministry of Defence Department of Military Affairs,2025-10-10T11:15:23Z,2025-10-10T11:15:23Z,No
['GEM/2025/B/6784616'],Digital Hand-held VHF Transceiver as per MHA QR,[40],PMO Department of Atomic Energy,2025-10-14T15:19:38Z,2025-10-14T15:19:38Z,No
['GEM/2025/B/6784273'],"Gardening Nylon Pipes,Gardening Nylon Pipes,Gardening Nylon Pipes",[3000],PMO Department of Atomic Energy,2025-10-14T15:25:55Z,2025-10-14T15:25:55Z,No
['GEM/2025/B/6803646'],"BOOSTER PUMP 3.7 KW,22KW MOTOR, FR: 180L, 4 POLE, B3 MTG,2.2 KW WATER PUMP WITH MOTOR,0.75KW SQ. CG",[4],Ministry of Mines Materials,2025-10-17T15:34:51Z,2025-10-17T15:34:51Z,No
['GEM/2025/B/6801650'],"Custom Bid for Services - Sch-A - Loco external Cleaning for Diesel and Electrical Locomotives,Cust",[8],Ministry of Railways Indian Railways,2025-10-17T12:45:10Z,2025-10-17T12:45:10Z,No
['GEM/2025/B/6800826'],"Custom Bid for Services - Manhour rate Engg & Consultancy service,Custom Bid for Services - Reimbur",[2],Ministry of Petroleum and Natural Gas NA,2025-10-17T17:00:48Z,2025-10-17T17:00:48Z,No
['GEM/2025/B/6657719'],ER6150B-RORO-1531-DT-06-30S,[2],Ministry of Defence Department of Military Affairs,2025-10-17T16:21:03Z,2025-10-17T16:21:03Z,No
['GEM/2025/B/6789611'],"VACCUM CONTRACTOR PANEL SPARES, Latch mechanism (110V DC) assy for HWC,VACCUM CONTRACTOR PANEL SPAR",[12],PMO Department of Atomic Energy,2025-10-14T16:36:36Z,2025-10-14T16:36:36Z,No
['GEM/2025/B/6775279'],"HARDWARE COST FOR INDIGNEISATION SOLUTION FOR PROCESSOR MODULE OF AIUS-LAMA,DEVELOPMENT CHARGES",[3],Ministry of Defence Department of Military Affairs,2025-10-14T17:32:22Z,2025-10-14T17:32:22Z,No
['GEM/2025/B/6783395'],DRY BAMBOO,[10000],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-17T15:33:18Z,2025-10-17T15:33:18Z,No
['GEM/2025/B/6750236'],"Office Table with Lockers,Office Chairs Executive,Almirah Large,Compactor,Computer Table,Heavy duty",[83],Ministry of Defence Department of Military Affairs,2025-10-03T14:42:32Z,2025-10-03T14:42:32Z,No
['GEM/2025/B/6599270'],"AMC / CMC of Fire Extinguishers - Storage; Water Based Fire Extinguisher,AMC / CMC of Fire Extingui",[627],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-16T12:57:23Z,2025-10-16T12:57:23Z,No
['GEM/2025/B/6652854'],"BRAKE DRUM, 250MM, CT, 1702910357",[2],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-15T17:13:48Z,2025-10-15T17:13:48Z,No
['GEM/2025/B/6646904'],"RAIL, DWG: LMMM-M-0237REV-B ELEVATOR,WHEEL, SCRAPPER, DWG: 2-8773313, F/BUNDLING",[22],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-15T17:05:37Z,2025-10-15T17:05:37Z,No
['GEM/2025/B/6794637'],Custom Bid for Services - Schedule A Maintenance and up keeping of TTE Rest Room at Dharmavaram (DM,[6],Ministry of Railways Indian Railways,2025-10-15T18:09:32Z,2025-10-15T18:09:32Z,No
