Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6765195'],"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - Transmisson Line; ",[1],Ministry of Power POWER GRID Corporation OF INDIA Limited,2025-10-09T18:33:08Z,2025-10-09T18:33:08Z,No
['GEM/2025/B/6808585'],"SEAT COVER FORD ENDEAVOUR,SEAT COVER MARUTI JIMNY,SEAT COVER BOLERO CAMPER,SEAT COVER TATA SAFARI,T",[49],Ministry of Home Affairs Central Armed Police Forces,2025-10-19T11:14:51Z,2025-10-19T11:14:51Z,No
['GEM/2025/B/6808553'],"Deep Freezer 500 ltr,Refrigerator 250ltr,DLSR Camera,Ultra HD Handy Cam Camrecoder,Gopro Camera,Tri",[68],Ministry of Home Affairs Central Armed Police Forces,2025-10-19T11:02:02Z,2025-10-19T11:02:02Z,No
['GEM/2025/B/6808192'],"Wireless Access Point (V2),Layer 2 Access Switch (V2),Modernization of Smart Classroom",[31],Ministry of Education Department of Higher Education,2025-10-18T18:27:37Z,2025-10-18T18:27:37Z,No
['GEM/2025/B/6806904'],"Red Chills Powder,Mustard or Fenugreek,Turmeric Powder,Black Pepper,Cloves,Coriander Powder,Cumin S",[1765],Ministry of Home Affairs Central Armed Police Forces,2025-10-19T10:05:38Z,2025-10-19T10:05:38Z,No
['GEM/2025/B/6806336'],"Handling ,Transport and Other Mining Services - Percentage quote based - Handling Service, Handling",[1],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-18T12:54:03Z,2025-10-18T12:54:03Z,No
['GEM/2025/B/6805590'],Portable Moisture in Oil Sensor Measurement Kit with Accessories,[1],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-10-17T22:47:41Z,2025-10-17T22:47:41Z,No
['GEM/2025/B/6805164'],Wave Trap/ Line Trap for 132 kV Switchyard,[4],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-10-17T19:22:28Z,2025-10-17T19:22:28Z,No
['GEM/2025/B/6800275'],Compact Weather Station,[1],Ministry of Power POWER GRID Corporation OF INDIA Limited,2025-10-23T15:45:42Z,2025-10-23T15:45:42Z,No
['GEM/2025/B/6617697'],under vehicle scanning system (electronic),[4],Ministry of Defence Department of Military Affairs,2025-10-21T11:23:30Z,2025-10-21T11:23:30Z,No
['GEM/2025/B/6793042'],32 Channel Wireless EEG Neurofeedback Machine,[1],Ministry of Education Department of Higher Education,2025-10-22T16:14:23Z,2025-10-22T16:14:23Z,No
['GEM/2025/B/6787423'],"Pentaperazole 40 mg plus Itopride,Bisacodyl 5 mg Tab,Secnidazole 1 gm Tab,Loperamide 2mg Tab,Ethiny",[107768],Ministry of Defence Department of Military Affairs,2025-10-21T20:54:37Z,2025-10-21T20:54:37Z,No
['GEM/2025/B/6817920'],"Core Switch,Distribution Switch,Cat6 Patch Chord 2Mtr,Cat6 Patch Chord 5Mtr,Cat6 Patch Chord 1Mtr",[10],Ministry of Education Department of Higher Education,2025-10-23T17:45:34Z,2025-10-23T17:45:34Z,No
['GEM/2025/B/6816931'],"Vehicle Hiring Service - Per Vehicle-Day basis - Hatchback; 2022, 2023, 2024, 2025; Local + Outstat",[350],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-23T16:06:15Z,2025-10-23T16:06:15Z,No
['GEM/2025/B/6814550'],Procurement and Installation of IFD with GreenWhite Board for Class Room including UPS Power Backup,[1],Ministry of Culture NA,2025-10-22T17:11:01Z,2025-10-22T17:11:01Z,No
