Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6749234'],Supply of Liquid Medical Oxygen (LMO) - Cubic meter; Cryogenic storage tanks; Steel,[426067],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-10T11:39:24Z,2025-10-10T11:39:24Z,No
['GEM/2025/B/6716351'],"Canteen Service - Best Price  on Fixed Menu Rate Model - Vegetarian; Breakfast, Lunch, Snacks, Beve",[1],Ministry of Power Bhakra Beas Managemet Board,2025-10-16T15:32:56Z,2025-10-16T15:32:56Z,No
['GEM/2025/B/6802956'],"Warehousing Service - Per MT Basis - Food grain storage,Location Jalandhar LohianKhas/Shahkot capac",[2],Agriculture Department Punjab,2025-10-17T13:29:42Z,2025-10-17T13:29:42Z,No
['GEM/2025/B/6802878'],"Warehousing Service - Per MT Basis - Food grain storage,Location Hoshiarpur Garhshankar capacity 10",[2],Agriculture Department Punjab,2025-10-17T13:19:28Z,2025-10-17T13:19:28Z,No
['GEM/2025/B/6802801'],"Warehousing Service - Per MT Basis - Food grain storage,Location Moga Baghapurana   capacity 120000",[2],Agriculture Department Punjab,2025-10-17T13:10:29Z,2025-10-17T13:10:29Z,No
['GEM/2025/B/6802689'],"Warehousing Service - Per MT Basis - Food grain storage,Location Moga Ajitwal/NS Wala/ Badnikalan  ",[2],Agriculture Department Punjab,2025-10-17T12:57:11Z,2025-10-17T12:57:11Z,No
['GEM/2025/B/6802589'],Poly-pallets for bag storage godowns (V2) Conforming to IS 13664,[20400],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-10-17T13:32:01Z,2025-10-17T13:32:01Z,No
['GEM/2025/B/6802562'],"Warehousing Service - Per MT Basis - Food grain storage,Location Kapurthala Phagwara capacity 50000",[2],Agriculture Department Punjab,2025-10-17T12:45:17Z,2025-10-17T12:45:17Z,No
['GEM/2025/B/6802440'],"Warehousing Service - Per MT Basis - Food grain storage,Location SBS Nagar Nawanshahr capacity 4000",[2],Agriculture Department Punjab,2025-10-17T12:33:28Z,2025-10-17T12:33:28Z,No
['GEM/2025/B/6802318'],"Warehousing Service - Per MT Basis - Food grain storage,Location SAS Nagar Mohali Dappar  capacity ",[2],Agriculture Department Punjab,2025-10-17T12:21:38Z,2025-10-17T12:21:38Z,No
['GEM/2025/B/6802100'],"Warehousing Service - Per MT Basis - Food grain storage,Location Bathinda Bhagta Bhai  capacity 300",[2],Agriculture Department Punjab,2025-10-17T12:02:19Z,2025-10-17T12:02:19Z,No
['GEM/2025/B/6782501'],"Compressed Air Bulk type cylinder capcity seven poit zero cubicmeter per cylinder,Nitrogen gas bulk",[34062],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-17T11:21:37Z,2025-10-17T11:21:37Z,No
['GEM/2025/B/6811288'],Autosampler for ICPMS,[1],Ministry of Jal Shakti Department of Water Resources River Development and Ganga Rejuvenation,2025-10-23T10:01:57Z,2025-10-23T10:01:57Z,No
['GEM/2025/B/6811135'],Repair and Overhauling Service - HYDRAULIC JACKS PG-45; HYDRAULIC JACKS PG-45; Yes; Buyer Premises,[1],Ministry of Defence Department of Military Affairs,2025-10-21T15:39:46Z,2025-10-21T15:39:46Z,No
['GEM/2025/B/6810527'],Repair and Overhauling Service - MAINTENANCE STANDS; MAINTENANCE STANDS; Yes; Buyer Premises,[1],Ministry of Defence Department of Military Affairs,2025-10-21T13:38:27Z,2025-10-21T13:38:27Z,No
['GEM/2025/B/6807578'],GH6-32 Gear Oil GHE 632 (Proprietary Product of Kluber),[5],Ministry of Defence Department of Military Affairs,2025-10-22T13:33:33Z,2025-10-22T13:33:33Z,No
['GEM/2025/B/6806752'],Virtual Cloud Server,[3],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-18T12:30:02Z,2025-10-18T12:30:02Z,No
['GEM/2025/B/6806415'],Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,[4],Ministry of Defence Department of Defence Production,2025-10-18T12:45:47Z,2025-10-18T12:45:47Z,No
['GEM/2025/B/6805875'],Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Admin,[2],Ministry of Defence Department of Defence Production,2025-10-18T10:34:59Z,2025-10-18T10:34:59Z,No
['GEM/2025/B/6804439'],AXIAL FLOW FAN 24* 24 BELT DRIVE 2 HP MOTOR,[3],Ministry of Defence Department of Defence Production,2025-10-18T09:22:18Z,2025-10-18T09:22:18Z,No
['GEM/2025/B/6804155'],HUMIDITY CONTROLLED DRY CABINET IN STORAGE VOLUME 1200-1400 LTR,[5],Ministry of Defence Department of Defence Production,2025-10-18T08:55:19Z,2025-10-18T08:55:19Z,No
['GEM/2025/B/6650394'],"Endotracheal Tubes (V2),Endotracheal Tubes (V2),Endotracheal Tubes (V2),Endotracheal Tubes (V2)",[117600],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T11:46:14Z,2025-10-23T11:46:14Z,No
['GEM/2025/B/6650023'],Single use Rubber Examination Gloves (V2),[12760000],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T11:54:19Z,2025-10-23T11:54:19Z,No
['GEM/2025/B/6649712'],Blood Administration Set (V2),[600000],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-23T12:08:46Z,2025-10-23T12:08:46Z,No
['GEM/2025/B/6714719'],"Climbing items,snow item,descender item,staking item,Climbing items,rescue item,Climbing items,desc",[196],Ministry of Defence Department of Military Affairs,2025-10-23T08:44:58Z,2025-10-23T08:44:58Z,No
['GEM/2025/B/6703103'],Laundry Service - Healthcare purpose,[17880],Ministry of Labour and Employment NA,2025-10-22T11:10:25Z,2025-10-22T11:10:25Z,No
