Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6674157,"Drishti MK-II Data Acquisition System with Course Recording Device, Cable Assemblies and Test Panel",3,Ministry of Defence Department of Military Affairs,2025-09-23 16:41:19Z,2025-09-23 16:41:19Z,No
GEM/2025/B/6800826,"Custom Bid for Services - Manhour rate Engg & Consultancy service,Custom Bid for Services - Reimbur",2,Ministry of Petroleum and Natural Gas NA,2025-10-17 17:00:48Z,2025-10-17 17:00:48Z,No
GEM/2025/B/6750236,"Office Table with Lockers,Office Chairs Executive,Almirah Large,Compactor,Computer Table,Heavy duty",83,Ministry of Defence Department of Military Affairs,2025-10-03 14:42:32Z,2025-10-03 14:42:32Z,No
GEM/2025/B/6652854,"BRAKE DRUM, 250MM, CT, 1702910357",2,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-15 17:13:48Z,2025-10-15 17:13:48Z,No
GEM/2025/B/6646904,"RAIL, DWG: LMMM-M-0237REV-B ELEVATOR,WHEEL, SCRAPPER, DWG: 2-8773313, F/BUNDLING",22,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-15 17:05:37Z,2025-10-15 17:05:37Z,No
GEM/2025/B/6811057,"All in One PC (V2),Line Interactive UPS with AVR (V2),High End Laptop - Notebook,Computer Printer (",199,Ministry of Civil Aviation Airports Authority of India (AAI),2025-10-21 16:11:35Z,2025-10-21 16:11:35Z,No
GEM/2025/B/6810774,"Supply, Safe Delivery of Metal Tubes and Plugs",1,PMO Department of Atomic Energy,2025-10-21 14:07:54Z,2025-10-21 14:07:54Z,No
GEM/2025/B/6810360,"netted visitor chair,visitor chair netted,revolving chairs,chairs revolving,bar stool revolving cha",58,"Ministry of Ports, Shipping and Waterways NA",2025-10-21 16:38:09Z,2025-10-21 16:38:09Z,No
GEM/2025/B/6810328,"Body Worn Camera with pocket or shoulder clip,Body Worn Camera with shoulder clip or pocket,Camera ",25,"Ministry of Ports, Shipping and Waterways NA",2025-10-21 18:03:05Z,2025-10-21 18:03:05Z,No
GEM/2025/B/6809750,Demineralised Water Bowser,2,Ministry of Defence Department of Military Affairs,2025-10-21 10:39:48Z,2025-10-21 10:39:48Z,No
GEM/2025/B/6808883,"Fumehood,Scrubber,EDCE,P FC,F IC",5,Ministry of Mines NA,2025-10-22 10:30:59Z,2025-10-22 10:30:59Z,No
GEM/2025/B/6804189,"Coaxial cable, 50 Ohm, 10000V DC",1200,PMO Department of Atomic Energy,2025-10-21 17:22:27Z,2025-10-21 17:22:27Z,No
GEM/2025/B/6802520,"MANUAL SEALER FOR STEEL STRAP,STRAP CUTTER FOR STEEL STRAP-HEAVY DUTY,TENSIONER FOR STEEL STRAP",31,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23 15:31:36Z,2025-10-23 15:31:36Z,No
GEM/2025/B/6798411,"COMPRESSED OXYGEN GAS,OXYGEN GAS COMPRESSED,OXYGEN GAS,COMPRESSED GAS,DISSOLVED ACETYLENE GAS",3772,"Ministry of Ports, Shipping and Waterways NA",2025-10-22 18:57:12Z,2025-10-22 18:57:12Z,No
GEM/2025/B/6642459,"XL6 0044,34832 XL68009 XL68009,DD900806 DD900806 2,EA01623 DD900806 2,NA DE WM18B 1656,EA02351EA 02",12,Ministry of Defence Department of Military Affairs,2025-10-21 16:45:50Z,2025-10-21 16:45:50Z,No
GEM/2025/B/6642082,"Analogue Compression Testing Machine,Moulds C I of 70.6 mm cube,C I Moulds of 70.6 mm cube,Cube 70.",19,"Ministry of Ports, Shipping and Waterways NA",2025-10-22 18:39:48Z,2025-10-22 18:39:48Z,No
GEM/2025/B/6634796,exploder cover with o rings,50,Ministry of Defence Department of Military Affairs,2025-10-22 12:05:29Z,2025-10-22 12:05:29Z,No
GEM/2025/B/6629535,PROCUREMENT OF MULTI DETECTOR TESTER,1,Ministry of Defence Department of Military Affairs,2025-10-21 17:58:56Z,2025-10-21 17:58:56Z,No
GEM/2025/B/6622116,PROCUREMENT OF SPECTRONIC BREAKER TYPE S-100,2,Ministry of Defence Department of Military Affairs,2025-10-21 17:53:41Z,2025-10-21 17:53:41Z,No
GEM/2025/B/6602251,"3033000, WASHER, RND, FLAT, SS316, 11MM, 40MM, 3MM",2000,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-22 10:30:44Z,2025-10-22 10:30:44Z,No
GEM/2025/B/6712104,"CAR FLAG COMMODORE,CAR FLAG METAL FRAME,STAR BOX STAINLESS STEEL,STAR BOX COVERS (REXINE)",23,Ministry of Defence Department of Military Affairs,2025-10-22 10:03:04Z,2025-10-22 10:03:04Z,No
GEM/2025/B/6711334,Procurement of DEIF Controller Unit (GPU-3 Marine),1,Ministry of Defence Department of Defence,2025-10-22 15:24:16Z,2025-10-22 15:24:16Z,No
GEM/2025/B/6692735,"PROCUREMENT OF SEAL KIT,VALVE KIT",6,Ministry of Defence Department of Military Affairs,2025-10-21 17:07:28Z,2025-10-21 17:07:28Z,No
GEM/2025/B/6686725,"CBN BRSH, HTSRIM GRADE, PD-BF-01480,CBN BRSH, HTSRIM GRADE, PD-BF-01581",105,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-18 16:59:40Z,2025-10-18 16:59:40Z,No
GEM/2025/B/6794298,"HP MODEL ONE THOUSAND TWENTY TWELVE A CARTRIDGE,HP MODEL M FIVE HUNDRED SIX F TWO HUNDRED EIGHTY SE",25,Ministry of Defence Department of Military Affairs,2025-10-21 15:39:39Z,2025-10-21 15:39:39Z,No
GEM/2025/B/6792800,"AMMONIUM CHLORIDE LR,CALCIUM CHLORIDE DEHYDRATE,STRONTIUM NITRATE EMPLURA,BARIUM NITRATE PURIFIED,I",20,Ministry of Defence Department of Military Affairs,2025-10-21 15:49:03Z,2025-10-21 15:49:03Z,No
GEM/2025/B/6789568,Sailor RT 6222,1,Ministry of Defence Department of Military Affairs,2025-10-23 14:27:46Z,2025-10-23 14:27:46Z,No
