Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6817254,"Coir Brush,Duster Cloth,Plastic Mugs,Plastic Buckets,Plastic Buckets small,Plastic pots,Iron axes w",640,Ministry of Culture NA,2025-10-23 15:07:07Z,2025-10-23 15:07:07Z,No
GEM/2025/B/6816484,Fixed Computer Workstation,1,Ministry of Education Department of Higher Education,2025-10-23 17:21:14Z,2025-10-23 17:21:14Z,No
GEM/2025/B/6827275,"closed ciruit apparaturs for venturimeter,pelton wheel turbine,kaplan turbine,francis turbine,recip",6,Higher Education Department Telangana,2025-10-28 07:35:37Z,2025-10-28 07:35:37Z,No
GEM/2025/B/6859363,Environmental Chamber,1,Ministry of Education Department of Higher Education,2025-11-06 17:59:14Z,2025-11-06 17:59:14Z,No
GEM/2025/B/6844650,VERTICAL MILLING MACHINE,1,Ministry of Education Department of Higher Education,2025-11-03 16:50:26Z,2025-11-03 16:50:26Z,No
GEM/2025/B/6822430,Mobile Computer Workstation,1,Ministry of Education Department of Higher Education,2025-10-29 17:10:25Z,2025-10-29 17:10:25Z,No
GEM/2025/B/6838225,Mobile Computer Workstation,1,Ministry of Education Department of Higher Education,2025-10-30 17:37:05Z,2025-10-30 17:37:05Z,No
GEM/2025/B/6837050,Fixed Computer Workstation,1,Ministry of Education Department of Higher Education,2025-10-30 17:46:28Z,2025-10-30 17:46:28Z,No
GEM/2025/B/6841580,Fixed Computer Workstation,1,Ministry of Education Department of Higher Education,2025-10-31 17:58:56Z,2025-10-31 17:58:56Z,No
GEM/2025/B/6835866,"CBL ARM XLPE INS COPPER 3C2.5 SQMM,CBL ARM 1.1KV XLPE FRLS CU 36C X1.5MM2,CBL ARM 1.1KV XLPE FRLS C",183100,Ministry of Petroleum and Natural Gas Bharat Petroleum Corporation Ltd,2025-10-30 12:54:22Z,2025-10-30 12:54:22Z,No
GEM/2025/B/6856847,customized 20 kva ups without batteries,1,Ministry of Education Department of Higher Education,2025-11-06 11:50:17Z,2025-11-06 11:50:17Z,No
GEM/2025/B/6810886,Hyper Converged Infrastructure,1,Ministry of Education Department of Higher Education,2025-10-21 15:22:22Z,2025-10-21 15:22:22Z,No
GEM/2025/B/6867428,Air Conditioner with Inverter technology with ten years Compressor warranty,10,Ministry of Education Department of Higher Education,2025-11-07 19:03:19Z,2025-11-07 19:03:19Z,No
GEM/2025/B/6866751,Camera for CCTV System (V3),10,Ministry of Defence Department of Defence,2025-11-07 16:30:11Z,2025-11-07 16:30:11Z,No
GEM/2025/B/6866460,Camera for CCTV System (V3),10,Ministry of Defence Department of Defence,2025-11-07 16:46:56Z,2025-11-07 16:46:56Z,No
GEM/2025/B/6800971,"Nylon rope,White cement Lime,Atrazine,Cypermethrin,Cholorophyriphos,Cholorophyriphos,Corozen Chlora",152856,Ministry of Agriculture and Farmers Welfare Department of Agricultural Research and Education (DARE),2025-11-07 13:16:45Z,2025-11-07 13:16:45Z,No
GEM/2025/B/6863611,CNC Vertical Machining Centre,1,Ministry of Education Department of Higher Education,2025-11-10 11:15:13Z,2025-11-10 11:15:13Z,No
